GML_FILE	SOURCE	EXTERNAL_ID	PMCID	DOI	AUTHORS
acs.analchem.1c05068.gml	MED	35245040	PMC8928149	https://doi.org/10.1021/acs.analchem.1c05068	de Haan, Noortje; Narimatsu, Yoshiki; Koed Møller Aasted, Mikkel; Larsen, Ida S B; Marinova, Irina N; Dabelsteen, Sally; Vakhrushev, Sergey Y; Wandall, Hans H
acs.jproteome.1c00219.gml	MED	34191522	PMC8353623	https://doi.org/10.1021/acs.jproteome.1c00219	Wilkinson, Hayden; Thomsson, Kristina A; Rebelo, Ana L; Hilliard, Mark; Pandit, Abhay; Rudd, Pauline M; Karlsson, Niclas G; Saldova, Radka
acsomega.2c05111.gml	MED	36385894	PMC9647785	https://doi.org/10.1021/acsomega.2c05111	Alvarez, Michael Russelle S; Zhou, Qingwen; Tena, Jennyfer; Lebrilla, Carlito B; Completo, Gladys C; Heralde, Francisco M; Cabanatan, Michelle; Barzaga, Ma Teresa; Tan-Liu, Nelia; Ladrera, Guia Imelda; Danguilan, Jose Luis; Rabajante, Jomar; Padolina, Isagani; Nacario, Ruel C
etm.2023.12177.gml	MED	37753295	PMC10518647	https://doi.org/10.3892/etm.2023.12177 	Liu, Junjie; Wu, Liuguo; Gu, Hongjing; Lu, Miaomiao; Zhang, Jiong; Zhou, Hongli
fimmu.2022.1013990.gml	MED	36189210	PMC9520751	https://doi.org/10.3389/fimmu.2022.1013990	Luo, Mengqi; Mao, Yonghong; Zeng, Wenjuan; Zheng, Shanshan; Li, Huixian; Hu, Juanjuan; Xie, Xinfang; Zhang, Yong
fmolb.2023.1207670.gml	MED	37383151	PMC10296771	https://doi.org/10.3389/fmolb.2023.1207670	Parsons, Lisa M; Zoueva, Olga; Grubbs, Gabrielle; Plant, Ewan; Jankowska, Ewa; Xie, Yijia; Song, Hao; Gao, George F; Ye, Zhiping; Khurana, Surender; Cipollo, John F
fonc.2023.1104936.gml	MED	36845686	PMC9948623	https://doi.org/10.3389/fonc.2023.1104936	Takakura, Daisuke; Ohashi, Shoko; Kobayashi, Noritoshi; Tokuhisa, Motohiko; Ichikawa, Yasushi; Kawasaki, Nana
foods11131952.gml	MED	35804766	PMC9265272	https://doi.org/10.3390/foods11131952	Chia, Sean; Teo, Gavin; Tay, Shi Jie; Loo, Larry Sai Weng; Wan, Corrine; Sim, Lyn Chiin; Yu, Hanry; Walsh, Ian; Pang, Kuin Tian
ijms24065402.gml	MED	36982475	PMC10048973	https://doi.org/10.3390/ijms24065402	Lohia, Sonnal; Latosinska, Agnieszka; Zoidakis, Jerome; Makridakis, Manousos; Mischak, Harald; Glorieux, Griet; Vlahou, Antonia; Jankowski, Vera
j.mcpro.2022.100205.gml	MED	35091091	PMC8933705	https://doi.org/10.1016/j.mcpro.2022.100205	Polasky, Daniel A; Geiszler, Daniel J; Yu, Fengchao; Nesvizhskii, Alexey I
